         172625 function calls (167391 primitive calls) in 0.755 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1910    0.001    0.000    0.001    0.000 {built-in method _thread.get_ident}
        7    0.001    0.000    0.002    0.000 enum.py:135(__new__)
      307    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:35(_new_module)
      307    0.001    0.000    0.020    0.000 <frozen importlib._bootstrap_external>:951(path_stats)
    537/8    0.001    0.000    0.736    0.092 <frozen importlib._bootstrap>:211(_call_with_frames_removed)
      481    0.001    0.000    0.010    0.000 re.py:185(sub)
       52    0.001    0.000    0.001    0.000 config.py:413(register_option)
    95/72    0.001    0.000    0.005    0.000 typing.py:340(__getitem__)
      462    0.001    0.000    0.030    0.000 <frozen importlib._bootstrap_external>:93(_path_isfile)
      398    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:151(__exit__)
      307    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:401(_check_name_wrapper)
      517    0.001    0.000    0.001    0.000 functools.py:67(wraps)
      745    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:36(_relax_case)
     1003    0.001    0.000    0.001    0.000 {built-in method nt.fspath}
       53    0.000    0.000    0.024    0.000 sre_compile.py:759(compile)
      193    0.000    0.000    0.001    0.000 typing.py:165(_collect_type_vars)
     1165    0.000    0.000    0.000    0.000 {method 'get' of 'dict' objects}
      156    0.000    0.000    0.017    0.000 _decorators.py:330(__call__)
  280/249    0.000    0.000    0.001    0.000 typing.py:664(__hash__)
     1498    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:321(<genexpr>)
      380    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:311(__enter__)
       72    0.000    0.000    0.001    0.000 typing.py:212(_remove_dups_flatten)
        1    0.000    0.000    0.000    0.000 {built-in method nt.open}
       53    0.000    0.000    0.002    0.000 sre_compile.py:536(_compile_info)
        1    0.000    0.000    0.002    0.002 <frozen importlib._bootstrap_external>:105(_write_atomic)
       36    0.000    0.000    0.000    0.000 {built-in method _ctypes.POINTER}
       33    0.000    0.000    0.000    0.000 {built-in method _abc._abc_init}
       48    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1319(__init__)
       99    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
      374    0.000    0.000    0.000    0.000 {built-in method _imp.is_frozen}
        3    0.000    0.000    0.024    0.008 numeric.py:1(<module>)
      325    0.000    0.000    0.000    0.000 sre_parse.py:111(__init__)
      257    0.000    0.000    0.000    0.000 {method 'match' of 're.Pattern' objects}
      618    0.000    0.000    0.001    0.000 _inspect.py:15(ismethod)
      398    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:143(__init__)
        1    0.000    0.000    0.003    0.003 strings.py:2026(StringMethods)
      567    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
      807    0.000    0.000    0.001    0.000 sre_parse.py:249(match)
      132    0.000    0.000    0.000    0.000 sre_compile.py:249(_compile_charset)
       55    0.000    0.000    0.054    0.001 <frozen importlib._bootstrap_external>:1040(create_module)
      893    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
       53    0.000    0.000    0.014    0.000 sre_parse.py:919(parse)
      374    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:792(find_spec)
      613    0.000    0.000    0.000    0.000 sre_parse.py:172(append)
        1    0.000    0.000    0.003    0.003 six.py:21(<module>)
      307    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:884(__init__)
      296    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
      696    0.000    0.000    0.000    0.000 {built-in method builtins.min}
      380    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:307(__init__)
      657    0.000    0.000    0.000    0.000 sre_parse.py:160(__len__)
      106    0.000    0.000    0.000    0.000 {built-in method numpy.array}
      480    0.000    0.000    0.000    0.000 sre_parse.py:286(tell)
        7    0.000    0.000    0.001    0.000 enum.py:177(<setcomp>)
        1    0.000    0.000    0.003    0.003 core.py:21(<module>)
      618    0.000    0.000    0.000    0.000 _inspect.py:28(isfunction)
       48    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1433(<setcomp>)
       38    0.000    0.000    0.000    0.000 {method 'strftime' of 'datetime.date' objects}
       49    0.000    0.000    0.002    0.000 typing.py:180(_subs_tvars)
      614    0.000    0.000    0.000    0.000 _inspect.py:43(iscode)
       49    0.000    0.000    0.003    0.000 typing.py:621(__getitem__)
       53    0.000    0.000    0.001    0.000 enum.py:836(__and__)
       40    0.000    0.000    0.000    0.000 _inspect.py:142(formatargspec)
       52    0.000    0.000    0.001    0.000 core.py:889(__init__)
     1208    0.000    0.000    0.000    0.000 {method 'lower' of 'str' objects}
      235    0.000    0.000    0.002    0.000 re.py:170(match)
       82    0.000    0.000    0.000    0.000 {built-in method nt.getcwd}
       48    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:1445(path_hook_for_FileFinder)
      362    0.000    0.000    0.000    0.000 {method 'strip' of 'str' objects}
      414    0.000    0.000    0.000    0.000 {method 'find' of 'bytearray' objects}
      392    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:719(find_spec)
