Waiting for CPU move...
Generation of this next move took 7.78 seconds, ran 10000 iterations.
   a b c d e 
 -----------------------
0 |- - - -          5162201 function calls (4314156 primitive calls) in 9.479 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1566    0.003    0.000    0.011    0.000 {built-in method builtins.any}
      408    0.003    0.000    0.058    0.000 artist.py:1241(get_valid_values)
     1788    0.003    0.000    0.025    0.000 __init__.py:774(__setitem__)
     1057    0.003    0.000    0.004    0.000 ntpath.py:122(splitdrive)
      373    0.003    0.000    0.007    0.000 colors.py:185(_to_rgba_no_colorcycle)
      573    0.003    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:574(spec_from_file_location)
       38    0.003    0.000    0.008    0.000 __init__.py:316(namedtuple)
        7    0.003    0.000    0.003    0.000 {built-in method nt.open}
      594    0.003    0.000    0.005    0.000 <frozen importlib._bootstrap>:318(__exit__)
     5903    0.003    0.000    0.003    0.000 {built-in method builtins.setattr}
     4706    0.003    0.000    0.007    0.000 sre_parse.py:254(get)
      614    0.003    0.000    0.003    0.000 _inspect.py:67(getargs)
      495    0.003    0.000    0.119    0.000 <frozen importlib._bootstrap_external>:523(_compile_bytecode)
    11227    0.003    0.000    0.003    0.000 {method 'rstrip' of 'str' objects}
       28    0.003    0.000    0.003    0.000 {built-in method builtins.dir}
       64    0.003    0.000    0.015    0.000 colors.py:729(from_list)
      356    0.003    0.000    0.012    0.000 typing.py:603(__init__)
     2370    0.003    0.000    0.168    0.000 <frozen importlib._bootstrap_external>:74(_path_stat)
     6790    0.002    0.000    0.002    0.000 {method 'get' of 'dict' objects}
     3902    0.002    0.000    0.002    0.000 {method 'rpartition' of 'str' objects}
  594/592    0.002    0.000    0.126    0.000 <frozen importlib._bootstrap>:576(module_from_spec)
      684    0.002    0.000    0.005    0.000 typing.py:113(_type_check)
     1614    0.002    0.000    0.055    0.000 artist.py:1319(is_alias)
       11    0.002    0.000    0.005    0.000 enum.py:135(__new__)
  441/191    0.002    0.000    0.042    0.000 sre_parse.py:417(_parse_sub)
       72    0.002    0.000    0.027    0.000 __init__.py:1525(_preprocess_data)
       12    0.002    0.000    0.042    0.003 artist.py:1213(get_aliases)
  242/170    0.002    0.000    0.013    0.000 typing.py:340(__getitem__)
     1969    0.002    0.000    0.002    0.000 {method 'match' of 're.Pattern' objects}
       60    0.002    0.000    0.005    0.000 function_base.py:37(linspace)
       68    0.002    0.000    0.016    0.000 <frozen importlib._bootstrap_external>:1404(_fill_cache)
     1045    0.002    0.000    0.011    0.000 colors.py:149(to_rgba)
      573    0.002    0.000    0.014    0.000 <frozen importlib._bootstrap_external>:369(_get_cached)
        3    0.002    0.001    0.007    0.002 decoder.py:343(raw_decode)
      287    0.002    0.000    0.008    0.000 overrides.py:72(verify_matching_signatures)
      573    0.002    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:1351(_get_spec)
 1052/978    0.002    0.000    0.026    0.000 typing.py:248(inner)
      191    0.002    0.000    0.075    0.000 sre_compile.py:759(compile)
     2672    0.002    0.000    0.003    0.000 typing.py:590(_is_dunder)
      804    0.002    0.000    0.054    0.000 <frozen importlib._bootstrap_external>:84(_path_is_mode_type)
      317    0.002    0.000    0.052    0.000 overrides.py:154(decorator)
      620    0.002    0.000    0.008    0.000 <frozen importlib._bootstrap>:58(__init__)
     1163    0.002    0.000    0.015    0.000 <frozen importlib._bootstrap_external>:1203(_path_importer_cache)
      411    0.002    0.000    0.005    0.000 copy.py:66(copy)
     1822    0.002    0.000    0.002    0.000 {method 'update' of 'dict' objects}
      222    0.002    0.000    0.005    0.000 ntpath.py:75(join)
        1    0.002    0.002    0.002    0.002 {method 'readlines' of '_io._IOBase' objects}
     1075    0.002    0.000    0.015    0.000 <frozen importlib._bootstrap>:403(cached)
     2548    0.002    0.000    0.002    0.000 inspect.py:2799(<genexpr>)
     2376    0.002    0.000    0.002    0.000 enum.py:526(__new__)
      620    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:176(cb)
       12    0.002    0.000    0.003    0.000 artist.py:1224(<listcomp>)
      495    0.002    0.000    0.002    0.000 {built-in method _imp._fix_co_filename}
      191    0.002    0.000    0.007    0.000 sre_compile.py:536(_compile_info)
     1499    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:51(_r_long)
 1256/864    0.001    0.000    0.002    0.000 typing.py:664(__hash__)
      969    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:416(parent)
       54    0.001    0.000    0.005    0.000 __init__.py:890(_open_file_or_url)
     2513    0.001    0.000    0.001    0.000 {method 'replace' of 'str' objects}
       20    0.001    0.000    0.001    0.000 {built-in method _imp.create_builtin}
       11    0.001    0.000    0.121    0.011 artist.py:1349(pprint_setters)
      524    0.001    0.000    0.001    0.000 {built-in method numpy.array}
