         577251 function calls (565261 primitive calls) in 0.712 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      993    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:84(_path_is_mode_type)
       30    0.001    0.000    0.002    0.000 function_base.py:26(linspace)
     1452    0.001    0.000    0.003    0.000 re.py:170(match)
      153    0.001    0.000    0.001    0.000 deprecation.py:24(_generate_deprecation_warning)
     2518    0.001    0.000    0.001    0.000 inspect.py:2799(<genexpr>)
     1459    0.001    0.000    0.001    0.000 sre_parse.py:111(__init__)
     1177    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1203(_path_importer_cache)
       37    0.001    0.000    0.221    0.006 __init__.py:1(<module>)
      576    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:471(_validate_timestamp_pyc)
     1260    0.001    0.000    0.001    0.000 colors.py:277(<genexpr>)
      456    0.001    0.000    0.001    0.000 enum.py:376(__setattr__)
      213    0.001    0.000    0.041    0.000 sre_parse.py:913(parse)
     1726    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:51(_r_long)
       38    0.001    0.000    0.001    0.000 {built-in method io.open}
       72    0.001    0.000    0.008    0.000 __init__.py:1488(_preprocess_data)
      688    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap>:147(__enter__)
      213    0.001    0.000    0.001    0.000 enum.py:836(__and__)
        1    0.001    0.001    0.001    0.001 {built-in method posix.read}
     2040    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:859(__exit__)
     4259    0.001    0.000    0.001    0.000 {built-in method _imp.acquire_lock}
     2040    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:855(__enter__)
       32    0.001    0.000    0.007    0.000 colors.py:782(from_list)
      616    0.001    0.000    0.003    0.000 _inspect.py:98(getargspec)
      136    0.001    0.000    0.003    0.000 deprecation.py:172(deprecate)
      576    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:884(__init__)
      667    0.001    0.000    0.037    0.000 <frozen importlib._bootstrap_external>:1272(find_spec)
      410    0.001    0.000    0.001    0.000 copy.py:269(_reconstruct)
      414    0.001    0.000    0.001    0.000 sre_compile.py:249(_compile_charset)
     1727    0.001    0.000    0.001    0.000 {built-in method from_bytes}
        2    0.001    0.000    0.409    0.204 __init__.py:11(<module>)
     1170    0.001    0.000    0.002    0.000 colors.py:123(_is_nth_color)
      240    0.001    0.000    0.007    0.000 tokenize.py:487(_tokenize)
       11    0.001    0.000    0.050    0.005 artist.py:1380(pprint_setters)
       25    0.001    0.000    0.003    0.000 traceback.py:318(extract)
       73    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1190(_path_hooks)
        1    0.001    0.001    0.001    0.001 _type_aliases.py:154(_add_integer_aliases)
   421/51    0.001    0.000    0.312    0.006 {built-in method builtins.__import__}
      910    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:93(_path_isfile)
      576    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:401(_check_name_wrapper)
      580    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:35(_new_module)
        2    0.001    0.000    0.001    0.000 _builtins.py:111(register_all)
      683    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:369(__init__)
     1731    0.001    0.000    0.001    0.000 inspect.py:158(isfunction)
       10    0.001    0.000    0.001    0.000 {built-in method gc.collect}
      453    0.001    0.000    0.005    0.000 rcsetup.py:327(validate_color)
     4156    0.000    0.000    0.000    0.000 {method 'strip' of 'str' objects}
     4259    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
      701    0.000    0.000    0.000    0.000 functools.py:67(wraps)
      412    0.000    0.000    0.001    0.000 artist.py:1357(aliased_name)
       15    0.000    0.000    0.003    0.000 {built-in method builtins.eval}
      365    0.000    0.000    0.001    0.000 font_manager.py:889(_json_decode)
      576    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:951(path_stats)
       83    0.000    0.000    0.001    0.000 pyparsing.py:3870(__init__)
      410    0.000    0.000    0.004    0.000 pyparsing.py:1423(copy)
     3085    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
       77    0.000    0.000    0.001    0.000 sre_compile.py:411(_mk_bitmap)
     1180    0.000    0.000    0.000    0.000 {method 'endswith' of 'str' objects}
       25    0.000    0.000    0.001    0.000 enum.py:177(<setcomp>)
      599    0.000    0.000    0.001    0.000 sre_compile.py:423(_simple)
      688    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:151(__exit__)
     1418    0.000    0.000    0.000    0.000 {method 'find' of 'bytearray' objects}
      318    0.000    0.000    0.001    0.000 sre_parse.py:343(_escape)
      273    0.000    0.000    0.002    0.000 function_base.py:460(add_newdoc)
        1    0.000    0.000    0.003    0.003 font_manager.py:928(json_load)
     2327    0.000    0.000    0.001    0.000 {built-in method posix.fspath}
        1    0.000    0.000    0.000    0.000 {built-in method torch._C._rpc_init}
      188    0.000    0.000    0.000    0.000 colors.py:845(<listcomp>)
      637    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:311(__enter__)
     2512    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:321(<genexpr>)
      457    0.000    0.000    0.001    0.000 {built-in method builtins.sorted}
     3048    0.000    0.000    0.000    0.000 inspect.py:2517(name)
    834/4    0.000    0.000    0.711    0.178 <frozen importlib._bootstrap>:211(_call_with_frames_removed)
      655    0.000    0.000    0.019    0.000 inspect.py:3081(signature)
       31    0.000    0.000    0.005    0.000 _collections_abc.py:824(update)
      213    0.000    0.000    0.029    0.000 sre_compile.py:598(_code)
      655    0.000    0.000    0.019    0.000 inspect.py:2829(from_callable)
       77    0.000    0.000    0.000    0.000 sre_compile.py:413(<listcomp>)
  244/204    0.000    0.000    0.000    0.000 sre_compile.py:461(_get_literal_prefix)
      515    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
       13    0.000    0.000    0.001    0.000 enum.py:654(<listcomp>)
      214    0.000    0.000    0.001    0.000 sre_parse.py:224(__init__)
      213    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
     2391    0.000    0.000    0.000    0.000 {method 'isidentifier' of 'str' objects}
